country,brand,model,year,price,price_log,transmission,mileage,mileage_log,fuelType,tax,tax_log,mpg,mpg_log,engineSize,engineSize_log,pricePerMileage_log
Germany,Audi,A6,2019,27985,10.239459664115659,Semi-Auto,688,6.535241271013659,Diesel,145.0,4.983606621708336,47.9,3.8897773964808264,2.0,1.0986122886681098,1.566806677747561
Germany,Audi,Q7,2020,62985,11.05066775845643,Semi-Auto,10,2.3978952727983707,Diesel,145.0,4.983606621708336,33.2,3.5322256440685598,3.0,1.3862943611198906,4.6084864021439005
Germany,Audi,A4,2019,28985,10.274568233782462,Semi-Auto,1024,6.932447891572509,Petrol,145.0,4.983606621708336,38.7,3.681351187693145,2.0,1.0986122886681098,1.4820981555840949
Germany,Audi,A4,2019,24985,10.126070946991774,Semi-Auto,448,6.1070228877422545,Petrol,145.0,4.983606621708336,39.8,3.708682081410116,2.0,1.0986122886681098,1.6581026685386058
Germany,Audi,A4,2019,26985,10.203073491990732,Semi-Auto,476,6.1675164908883415,Petrol,145.0,4.983606621708336,39.2,3.6938669956249757,2.0,1.0986122886681098,1.6543244768075402
Germany,Audi,Q5,2019,33985,10.433703954094051,Automatic,355,5.87493073085203,Diesel,145.0,4.983606621708336,39.2,3.6938669956249757,2.0,1.0986122886681098,1.7759705487763036
Germany,Audi,A5,2019,28985,10.274568233782462,Automatic,18,2.9444389791664403,Petrol,145.0,4.983606621708336,39.8,3.708682081410116,2.0,1.0986122886681098,3.489482480866747
Germany,Audi,Q2,2019,28985,10.274568233782462,Manual,824,6.715383386334681,Petrol,145.0,4.983606621708336,40.9,3.735285826928092,1.5,0.9162907318741551,1.5300047134599144
Germany,Audi,A6,2019,31985,10.373053586050816,Semi-Auto,27,3.332204510175204,Diesel,145.0,4.983606621708336,50.4,3.9396381724611196,2.0,1.0986122886681098,3.1129702736958995
Germany,Audi,Q2,2019,23685,10.07263943528144,Automatic,37,3.6375861597263857,Diesel,145.0,4.983606621708336,47.9,3.8897773964808264,1.6,0.9555114450274363,2.769044908626739
Germany,Audi,Q5,2020,37985,10.544972949772182,Semi-Auto,10,2.3978952727983707,Petrol,145.0,4.983606621708336,32.1,3.4995332823830174,2.0,1.0986122886681098,4.397595286747482
Germany,Audi,Q7,2019,49985,10.819498245202965,Automatic,10,2.3978952727983707,Diesel,145.0,4.983606621708336,33.2,3.5322256440685598,3.0,1.3862943611198906,4.512081227207429
