country,brand,model,year,price,price_log,transmission,mileage,mileage_log,fuelType,tax,tax_log,mpg,mpg_log,engineSize,engineSize_log
Germany,Audi,Q7,2020,62985,11.05066775845643,Semi-Auto,10,2.3978952727983707,Diesel,145.0,4.983606621708336,33.2,3.5322256440685598,3.0,1.3862943611198906
Germany,Audi,Q8,2018,63985,11.066419588412538,Semi-Auto,8450,9.042040056544483,Diesel,145.0,4.983606621708336,32.8,3.520460802488973,3.0,1.3862943611198906
Germany,Audi,Q7,2020,82995,11.326547692846342,Semi-Auto,826,6.717804695023691,Diesel,145.0,4.983606621708336,29.4,3.414442608412176,4.0,1.6094379124341003
Germany,Audi,RS4,2020,69995,11.156193376541639,Semi-Auto,2200,7.696667081526462,Petrol,145.0,4.983606621708336,28.8,3.3945083935113587,2.9,1.3609765531356006
Germany,Audi,Q8,2019,83995,11.33852445764401,Semi-Auto,5978,8.696008608880904,Diesel,150.0,5.017279836814924,30.7,3.456316680883235,4.0,1.6094379124341003
Germany,Audi,Q8,2020,84496,11.34447130975644,Automatic,3522,8.167068178341237,Diesel,145.0,4.983606621708336,30.7,3.456316680883235,4.0,1.6094379124341003
Germany,Audi,Q8,2019,63796,11.06346144628374,Automatic,6878,8.836228571526014,Diesel,145.0,4.983606621708336,32.8,3.520460802488973,3.0,1.3862943611198906
Germany,Audi,R8,2019,129000,11.767575435251748,Semi-Auto,4000,8.294299608857235,Petrol,145.0,4.983606621708336,21.4,3.109060958860994,5.2,1.824549292051046
Germany,Audi,Q8,2019,77888,11.263040015213013,Automatic,3011,8.010359588919783,Diesel,145.0,4.983606621708336,32.8,3.520460802488973,3.0,1.3862943611198906
Germany,Audi,R8,2020,137995,11.834979978212008,Semi-Auto,70,4.2626798770413155,Petrol,145.0,4.983606621708336,21.1,3.095577608523707,5.2,1.824549292051046
Germany,Audi,Q7,2020,69995,11.156193376541639,Semi-Auto,3111,8.043020885298283,Diesel,145.0,4.983606621708336,30.1,3.4372078191851885,4.0,1.6094379124341003
Germany,Audi,Q8,2020,64995,11.082081008522668,Semi-Auto,2000,7.601402334583733,Diesel,145.0,4.983606621708336,32.8,3.520460802488973,3.0,1.3862943611198906
Germany,Audi,Q7,2018,63912,11.065278062553428,Automatic,22393,10.016548344820142,Diesel,145.0,4.983606621708336,37.2,3.6428355156125294,4.0,1.6094379124341003
Germany,Audi,Q7,2019,65290,11.086609480344594,Semi-Auto,9740,9.184099060770956,Diesel,145.0,4.983606621708336,30.1,3.4372078191851885,4.0,1.6094379124341003
Germany,Audi,Q7,2018,64842,11.07972424251526,Semi-Auto,31362,10.353384133154211,Diesel,145.0,4.983606621708336,37.2,3.6428355156125294,4.0,1.6094379124341003
Germany,Audi,R8,2019,125000,11.736077016252437,Automatic,100,4.61512051684126,Petrol,145.0,4.983606621708336,24.1,3.2228678461377385,5.2,1.824549292051046
Germany,Audi,R8,2019,135000,11.813037464800539,Automatic,1000,6.90875477931522,Petrol,145.0,4.983606621708336,32.8,3.520460802488973,5.2,1.824549292051046
Germany,Audi,Q8,2019,89750,11.404794448349735,Automatic,5800,8.665785595466064,Diesel,145.0,4.983606621708336,30.7,3.456316680883235,4.0,1.6094379124341003
Germany,Audi,RS4,2020,69691,11.151840812542796,Semi-Auto,2500,7.824445930877619,Petrol,145.0,4.983606621708336,28.8,3.3945083935113587,2.9,1.3609765531356006
Germany,Audi,RS6,2020,97500,11.487617913343598,Semi-Auto,3220,8.0774471493312,Petrol,150.0,5.017279836814924,22.1,3.139832617527748,4.0,1.6094379124341003
Germany,Audi,R8,2019,112990,11.635063448504866,Automatic,8175,9.008958312443486,Petrol,145.0,4.983606621708336,21.6,3.1179499062782403,5.2,1.824549292051046
Germany,Audi,RS5,2019,66990,11.112313560992032,Automatic,6000,8.699681400989514,Petrol,145.0,4.983606621708336,29.7,3.4242626545931514,2.9,1.3609765531356006
Germany,Audi,Q5,2020,62990,11.05074713802576,Semi-Auto,5000,8.517393171418904,Diesel,145.0,4.983606621708336,32.5,3.5115454388310208,3.0,1.3862943611198906
Germany,Audi,Q7,2019,66990,11.112313560992032,Automatic,6000,8.699681400989514,Diesel,145.0,4.983606621708336,33.2,3.5322256440685598,3.0,1.3862943611198906
Germany,Audi,Q7,2020,84999,11.350406535472453,Semi-Auto,2348,7.761744984658913,Diesel,150.0,5.017279836814924,29.4,3.414442608412176,4.0,1.6094379124341003
Germany,Audi,R8,2019,137500,11.83138646878959,Semi-Auto,10,2.3978952727983707,Petrol,150.0,5.017279836814924,21.4,3.109060958860994,5.2,1.824549292051046
Germany,Audi,Q8,2020,86995,11.373617419568252,Semi-Auto,4174,8.336869637284956,Diesel,145.0,4.983606621708336,30.7,3.456316680883235,4.0,1.6094379124341003
Germany,Audi,R8,2018,93950,11.450528648744518,Semi-Auto,3800,8.24301946898925,Petrol,145.0,4.983606621708336,23.0,3.1780538303479458,5.2,1.824549292051046
Germany,Audi,RS6,2020,102544,11.538057005607833,Semi-Auto,2000,7.601402334583733,Petrol,145.0,4.983606621708336,22.1,3.139832617527748,4.0,1.6094379124341003
Germany,Audi,Q8,2018,62990,11.05074713802576,Semi-Auto,16900,9.735128070758227,Diesel,145.0,4.983606621708336,32.8,3.520460802488973,3.0,1.3862943611198906
Germany,Audi,Q7,2020,62990,11.05074713802576,Semi-Auto,6000,8.699681400989514,Diesel,145.0,4.983606621708336,33.2,3.5322256440685598,3.0,1.3862943611198906
Germany,Audi,Q8,2019,66990,11.112313560992032,Semi-Auto,7793,8.961109485898655,Diesel,145.0,4.983606621708336,32.8,3.520460802488973,3.0,1.3862943611198906
Germany,Audi,Q7,2019,68000,11.127277689932466,Automatic,7999,8.987196820661973,Diesel,145.0,4.983606621708336,33.2,3.5322256440685598,3.0,1.3862943611198906
Germany,Audi,Q5,2019,67990,11.127130622457644,Semi-Auto,6000,8.699681400989514,Diesel,145.0,4.983606621708336,32.5,3.5115454388310208,3.0,1.3862943611198906
Germany,Audi,Q7,2020,86990,11.373559944009717,Semi-Auto,6000,8.699681400989514,Diesel,145.0,4.983606621708336,29.4,3.414442608412176,4.0,1.6094379124341003
Germany,Audi,Q7,2020,84990,11.35030064751358,Semi-Auto,6000,8.699681400989514,Diesel,150.0,5.017279836814924,29.4,3.414442608412176,4.0,1.6094379124341003
Germany,Audi,RS4,2020,71990,11.184296390185041,Semi-Auto,6000,8.699681400989514,Petrol,145.0,4.983606621708336,29.1,3.40452517175483,2.9,1.3609765531356006
Germany,Audi,R8,2019,117990,11.678363629352566,Automatic,11936,9.387398099095039,Petrol,145.0,4.983606621708336,21.4,3.109060958860994,5.2,1.824549292051046
Germany,Audi,R8,2020,145000,11.884495917930655,Semi-Auto,2000,7.601402334583733,Petrol,145.0,4.983606621708336,21.1,3.095577608523707,5.2,1.824549292051046
Germany,Audi,Q8,2019,64990,11.082004077752629,Automatic,6000,8.699681400989514,Diesel,145.0,4.983606621708336,32.8,3.520460802488973,3.0,1.3862943611198906
Germany,Audi,RS4,2020,67000,11.112462823634855,Semi-Auto,3000,8.006700845440367,Petrol,145.0,4.983606621708336,29.1,3.40452517175483,2.9,1.3609765531356006
Germany,Audi,R8,2019,125000,11.736077016252437,Semi-Auto,500,6.2166061010848646,Petrol,145.0,4.983606621708336,21.4,3.109060958860994,5.2,1.824549292051046
Germany,Audi,Q7,2018,70990,11.170308387425273,Automatic,13213,9.48903215258983,Diesel,145.0,4.983606621708336,37.2,3.6428355156125294,4.0,1.6094379124341003
Germany,Audi,Q8,2019,76990,11.251443810887574,Semi-Auto,6000,8.699681400989514,Diesel,145.0,4.983606621708336,32.8,3.520460802488973,3.0,1.3862943611198906
Germany,Audi,R8,2019,109990,11.608153823245445,Automatic,6954,8.847216104357543,Petrol,145.0,4.983606621708336,21.6,3.1179499062782403,5.2,1.824549292051046
Germany,Audi,Q8,2019,66990,11.112313560992032,Semi-Auto,9155,9.122164681072457,Diesel,145.0,4.983606621708336,32.8,3.520460802488973,3.0,1.3862943611198906
Germany,Audi,RS5,2019,66990,11.112313560992032,Automatic,6000,8.699681400989514,Petrol,145.0,4.983606621708336,29.7,3.4242626545931514,2.9,1.3609765531356006
Germany,Audi,Q8,2019,65990,11.097273648073832,Semi-Auto,10000,9.210440366976517,Diesel,150.0,5.017279836814924,32.8,3.520460802488973,3.0,1.3862943611198906
Germany,Audi,Q7,2018,72990,11.198091424858745,Automatic,13213,9.48903215258983,Diesel,145.0,4.983606621708336,37.2,3.6428355156125294,4.0,1.6094379124341003
Germany,Audi,Q7,2020,62990,11.05074713802576,Semi-Auto,6000,8.699681400989514,Diesel,145.0,4.983606621708336,33.2,3.5322256440685598,3.0,1.3862943611198906
Germany,Audi,Q7,2020,89990,11.40746494431207,Semi-Auto,5000,8.517393171418904,Diesel,145.0,4.983606621708336,29.4,3.414442608412176,4.0,1.6094379124341003
Germany,Audi,R8,2018,94990,11.461537429252754,Automatic,3562,8.178358165605836,Petrol,145.0,4.983606621708336,23.0,3.1780538303479458,5.2,1.824549292051046
Germany,Audi,R8,2020,133900,11.804855999911272,Semi-Auto,333,5.811140992976701,Petrol,145.0,4.983606621708336,21.4,3.109060958860994,5.2,1.824549292051046
Germany,Audi,Q7,2020,78000,11.264476926102367,Automatic,1000,6.90875477931522,Diesel,145.0,4.983606621708336,30.1,3.4372078191851885,4.0,1.6094379124341003
Germany,Audi,Q7,2019,69000,11.141876276228,Automatic,1,0.6931471805599453,Diesel,145.0,4.983606621708336,30.1,3.4372078191851885,4.0,1.6094379124341003
Germany,Audi,R8,2019,116000,11.661354090741,Automatic,2369,7.7706452341291765,Petrol,145.0,4.983606621708336,22.6,3.1612467120315646,5.2,1.824549292051046
Germany,Audi,Q7,2019,67900,11.125806040978839,Semi-Auto,7077,8.864746660905409,Diesel,145.0,4.983606621708336,30.1,3.4372078191851885,4.0,1.6094379124341003
Germany,Audi,RS5,2019,63950,11.065872444101304,Automatic,1000,6.90875477931522,Petrol,145.0,4.983606621708336,29.7,3.4242626545931514,2.9,1.3609765531356006
Germany,Audi,R8,2016,79900,11.288543647320601,Semi-Auto,10172,9.227492430793749,Petrol,570.0,6.3473892096560105,24.8,3.250374491927572,5.2,1.824549292051046
Germany,Audi,Q7,2019,66950,11.11171628752756,Automatic,3000,8.006700845440367,Diesel,145.0,4.983606621708336,33.2,3.5322256440685598,3.0,1.3862943611198906
Germany,Audi,Q8,2019,62950,11.050111924969828,Semi-Auto,9991,9.209540051805414,Diesel,150.0,5.017279836814924,32.8,3.520460802488973,3.0,1.3862943611198906
Germany,Audi,RS6,2020,109495,11.603643297891102,Semi-Auto,1500,7.313886831633462,Petrol,150.0,5.017279836814924,22.1,3.139832617527748,4.0,1.6094379124341003
Germany,Audi,Q8,2020,73495,11.204986261951303,Semi-Auto,1500,7.313886831633462,Diesel,150.0,5.017279836814924,32.8,3.520460802488973,3.0,1.3862943611198906
Germany,Audi,Q7,2020,71450,11.176767179061333,Semi-Auto,5000,8.517393171418904,Diesel,145.0,4.983606621708336,30.1,3.4372078191851885,4.0,1.6094379124341003
Germany,Audi,Q7,2020,72995,11.198159924108706,Semi-Auto,3000,8.006700845440367,Diesel,145.0,4.983606621708336,30.1,3.4372078191851885,4.0,1.6094379124341003
Germany,Audi,RS4,2020,69950,11.155550275917102,Semi-Auto,2000,7.601402334583733,Petrol,145.0,4.983606621708336,29.1,3.40452517175483,2.9,1.3609765531356006
Germany,Audi,R8,2019,119450,11.690661524422556,Automatic,3000,8.006700845440367,Petrol,145.0,4.983606621708336,21.4,3.109060958860994,5.2,1.824549292051046
Germany,Audi,Q8,2019,85900,11.360950749348124,Semi-Auto,3401,8.132118772955806,Diesel,150.0,5.017279836814924,30.7,3.456316680883235,4.0,1.6094379124341003
Germany,Audi,Q7,2019,66000,11.097425172408931,Automatic,5000,8.517393171418904,Diesel,145.0,4.983606621708336,33.2,3.5322256440685598,3.0,1.3862943611198906
Germany,Audi,Q8,2020,63000,11.050905878263567,Semi-Auto,3000,8.006700845440367,Diesel,145.0,4.983606621708336,32.8,3.520460802488973,3.0,1.3862943611198906
Germany,Audi,A3,2009,2490,7.820439515262181,Manual,152034,11.931866036479816,Diesel,150.0,5.017279836814924,55.4,4.032469158504013,1.9,1.0647107369924282
Germany,Audi,R8,2019,119995,11.695213687875281,Semi-Auto,7800,8.962007209588313,Petrol,145.0,4.983606621708336,21.4,3.109060958860994,5.2,1.824549292051046
Germany,Audi,Q8,2020,63888,11.06490248157219,Automatic,1500,7.313886831633462,Diesel,145.0,4.983606621708336,32.8,3.520460802488973,3.0,1.3862943611198906
Germany,Audi,A6,2003,2495,7.822444729489319,Automatic,117000,11.669937760751914,Diesel,290.0,5.673323267171493,39.8,3.708682081410116,2.5,1.252762968495368
Germany,Audi,A3,2005,1975,7.588829878307813,Manual,104000,11.552155793461898,Petrol,240.0,5.484796933490655,38.1,3.66612246699132,2.0,1.0986122886681098
Germany,Audi,A3,2008,2995,8.005033344637111,Manual,117000,11.669937760751914,Diesel,200.0,5.303304908059076,48.7,3.906004933102583,2.0,1.0986122886681098
Germany,Audi,Q8,2019,82930,11.325764215735022,Automatic,9641,9.173883834965567,Diesel,150.0,5.017279836814924,30.7,3.456316680883235,4.0,1.6094379124341003
Germany,Audi,R8,2018,95950,11.471592923476377,Automatic,5044,8.52615293278771,Petrol,150.0,5.017279836814924,23.0,3.1780538303479458,5.2,1.824549292051046
Germany,Audi,Q7,2019,74950,11.22458984566989,Automatic,2500,7.824445930877619,Diesel,145.0,4.983606621708336,29.4,3.414442608412176,4.0,1.6094379124341003
Germany,Audi,A6,2003,2495,7.822444729489319,Manual,129000,11.767575435251748,Diesel,325.0,5.786897381366708,31.7,3.487375077903208,2.5,1.252762968495368
Germany,Audi,Q8,2019,67990,11.127130622457644,Automatic,1000,6.90875477931522,Diesel,145.0,4.983606621708336,32.8,3.520460802488973,3.0,1.3862943611198906
Germany,Audi,A8,2020,78990,11.277089200908689,Automatic,250,5.5254529391317835,Diesel,145.0,4.983606621708336,39.2,3.6938669956249757,3.0,1.3862943611198906
Germany,Audi,Q8,2019,67495,11.119823615845462,Automatic,7961,8.982435503560263,Diesel,145.0,4.983606621708336,32.8,3.520460802488973,3.0,1.3862943611198906
Germany,Audi,TT,2002,2876,7.964503363551548,Manual,99000,11.502885230075814,Petrol,295.0,5.69035945432406,30.1,3.4372078191851885,1.8,1.0296194171811581
Germany,Audi,A4,2007,2675,7.892078421248119,Manual,125000,11.736077016252437,Petrol,305.0,5.723585101952381,34.9,3.580737295494233,2.0,1.0986122886681098
Germany,Audi,A4,2005,3195,8.069655306886165,Manual,123000,11.719947764402807,Petrol,300.0,5.707110264748875,33.6,3.543853682063679,1.8,1.0296194171811581
Germany,Audi,A3,2007,2795,7.935945103353701,Manual,104000,11.552155793461898,Diesel,145.0,4.983606621708336,53.3,3.9945242269398897,1.9,1.0647107369924282
Germany,Audi,A3,2008,2995,8.005033344637111,Manual,136000,11.820417517632333,Diesel,205.0,5.327876168789581,48.7,3.906004933102583,2.0,1.0986122886681098
Germany,Audi,A6,2008,2490,7.820439515262181,Manual,323000,12.685410698175234,Diesel,200.0,5.303304908059076,44.1,3.8088822465086327,2.0,1.0986122886681098
Germany,Audi,A3,2007,2995,8.005033344637111,Manual,128000,11.759793355371237,Diesel,200.0,5.303304908059076,48.7,3.906004933102583,2.0,1.0986122886681098
Germany,Audi,TT,2004,2895,7.971085753505607,Manual,129000,11.767575435251748,Petrol,325.0,5.786897381366708,30.8,3.459466289786131,1.8,1.0296194171811581
Germany,Audi,A3,2005,2495,7.822444729489319,Manual,122000,11.711784520403112,Diesel,150.0,5.017279836814924,53.3,3.9945242269398897,0.0,0.0
Germany,Audi,Q7,2020,70950,11.169744776921561,Automatic,5000,8.517393171418904,Diesel,145.0,4.983606621708336,30.1,3.4372078191851885,4.0,1.6094379124341003
Germany,Audi,Q7,2018,65000,11.082157933374816,Automatic,9923,9.202711344811691,Diesel,150.0,5.017279836814924,37.2,3.6428355156125294,4.0,1.6094379124341003
Germany,Audi,R8,2016,74500,11.218567827096358,Automatic,28888,10.271216178807896,Petrol,570.0,6.3473892096560105,24.1,3.2228678461377385,5.2,1.824549292051046
Germany,Audi,RS4,2020,69890,11.154692164567411,Automatic,3350,8.11701408773731,Petrol,150.0,5.017279836814924,29.1,3.40452517175483,2.9,1.3609765531356006
Germany,Audi,TT,2002,1990,7.596392304064196,Manual,131925,11.78999643830957,Petrol,325.0,5.786897381366708,30.1,3.4372078191851885,1.8,1.0296194171811581
Germany,Audi,A2,2003,2490,7.820439515262181,Manual,100000,11.51293546492023,Diesel,30.0,3.4339872044851463,65.7,4.200204952921578,1.4,0.8754687373538999
Germany,Audi,A4,2005,2990,8.003363058629947,Manual,95000,11.461642696843066,Petrol,300.0,5.707110264748875,34.9,3.580737295494233,2.0,1.0986122886681098
Germany,Audi,RS6,2020,104948,11.561229796856551,Automatic,3000,8.006700845440367,Petrol,145.0,4.983606621708336,22.1,3.139832617527748,4.0,1.6094379124341003
Germany,Audi,A6,2007,2600,7.8636512654486515,Manual,127700,11.757446872843532,Diesel,205.0,5.327876168789581,44.1,3.8088822465086327,2.0,1.0986122886681098
Germany,Audi,Q8,2020,72500,11.19135563385109,Automatic,10,2.3978952727983707,Diesel,150.0,5.017279836814924,32.8,3.520460802488973,3.0,1.3862943611198906
