,Model series,Years,Vehicle class
0,3/15,1927–1932,Economy car
1,3/20 PS,1932–1934,Compact car
2,303,1933–1937,Compact car
3,328,1936–1940,Roadster
4,326,1936–1941,Mid-size luxury car
5,327,1937–1941,Grand tourer
6,320,1937–1938,Mid-size luxury car
7,321,1938–1941,Mid-size luxury car
8,335,1939–1941,Full-size luxury car
9,321,1945–1950,Mid-size luxury car
10,326,1945–1946,Mid-size luxury car
11,327,1946–1955,Grand tourer
12,340,1949–1955,Full-size luxury car
13,501,1952–1962,Mid-size luxury car
14,Isetta,1953–1962,Microcar
15,503,1956–1959,Grand tourer
16,507,1956–1959,Roadster
17,700,1959–1965,Compact car
18,3200 CS,1962–1965,Grand tourer
19,New Class (sedans),1962–1972,Mid-size luxury car
20,New Class (coupés),1965–1969,Grand tourer
21,02 Series,1966–1977,Compact executive car
22,New Six coupés (E9),1968–1975,Grand tourer
23,New Six sedans (E3),1968–1977,Full-size luxury car
24,5 Series (E12),1972–1981,Mid-size luxury car
25,3 Series (E21),1975–1983,Compact executive car
26,6 Series (E24),1976–1989,Grand tourer
27,7 Series (E23),1977–1987,Full-size luxury car
28,M1,1978–1981,Sports car
29,5 Series (E28),1981–1988,Mid-size luxury car
30,3 Series (E30),1982–1994,Compact executive car
31,7 Series (E32),1986–1994,Full-size luxury car
32,5 Series (E34),1987–1996,Mid-size luxury car
33,Z1,1989–1991,Roadster
34,8 Series (E31),1989–1999,Grand tourer
35,3 Series (E36),1990–2000,Compact executive car
36,7 Series (E38),1994–2001,Full-size luxury car
37,Z3,1995–2002,Roadster and coupé
38,5 Series (E39),1995–2003,Mid-size luxury car
39,3 Series (E46),1998–2006,Compact executive car
40,X5 (E53),1999–2006,Mid-size luxury SUV
41,Z8,2000–2003,Roadster
42,7 Series (E65/E66),2001–2008,Full-size luxury car
43,Z4 (E85/E86),2002–2008,"Roadster, coupé"
44,5 Series (E60/E61),2003–2010,Mid-size luxury car
45,6 Series (E63/E64),2003–2010,Grand tourer
46,X3 (E83),2003–2010,Compact luxury SUV
47,1 Series (E81/E82/E87/E88),2004–2013,"Hatchback, coupé, convertible"
48,3 Series (E90/E91/E92/E93),2005–2013,Compact executive car
49,X5 (E70),2006–2013,Mid-size luxury SUV
50,X6 (E71),2008–2014,Mid-size luxury SUV
51,7 Series (F01/F02),2008–2015,Full-size luxury car
52,Z4 (E89),2009–2016,Roadster
53,X1 (E84),2009–2015,Sub-compact luxury SUV
54,5 Series (F07/F10/F11),2010–2017,Mid-size luxury car
55,6 Series (F06/F12/F13),2011–2018,Grand tourer
56,X3 (F25),2011–2017,Compact luxury SUV
57,1 Series (F20/F21),2011–2019,Subcompact car
58,3 Series (F30/F31/F34),2011–2020,Compact executive car
59,i3,2013–present,Subcompact car (electric)
60,4 Series (F32/F33/F36),2013–2020,Compact executive car
61,2 Series (F22/F23),2013–2021,Subcompact car
62,X5 (F15),2013–2018,Mid-size luxury SUV
63,2 Series (F45/F46),2014–present,Subcompact MPV
64,i8,2014–2020,Sports car (hybrid)
65,X4 (F26),2014–2018,Compact luxury SUV
66,X6 (F16),2014–2019,Mid-size luxury SUV
67,X1 (F48),2015–present,Compact luxury SUV
68,7 Series (G11/G12),2015–present,Full-size luxury car
69,5 Series (G30/G31),2016–2023,Mid-size luxury car
70,1 Series (F52),2017–present,Subcompact executive car
71,6 Series (G32),2017–present,Grand tourer
72,X3 (G01),2017–present,Compact luxury SUV
73,X2 (F39),2018–present,Compact luxury SUV
74,X4 (G02),2018–present,Compact luxury SUV
75,X5 (G05),2018–present,Mid-size luxury SUV
76,8 Series (G14/G15/G16),2018–present,Grand tourer
77,Z4 (G29),2018–present,Roadster
78,3 Series (G20/G21),2019–present,Compact executive car
79,1 Series (F40),2019–present,Subcompact car
80,X6 (G06),2019–present,Mid-size luxury SUV
81,X7 (G07),2019–present,Full-size luxury SUV
82,2 Series (F44),2019–present,Subcompact car
83,4 Series (G22/G23/G26),2020–present,Compact executive car
84,iX3,2020–present,Compact luxury SUV
85,iX,2021–present,Midsize luxury SUV
86,i4,2021–present,Compact executive car
87,2 Series (G42),2021–present,Subcompact car
88,2 Series (U06),2021–present,Subcompact MPV
89,7 Series (G70),2022–present,Full-size luxury car
90,i7,2022–present,Full-size luxury car
91,XM (G09),2022–present,Full-size luxury crossover SUV
92,5 Series (G60),2023–present,Mid-size luxury car
93,i5,2023–present,Mid-size luxury car
