   ,Body style        ,Model ,Model              ,Model                    ,Current generation ,Current generation       ,Current generation                                       ,Vehicle description
   ,Body style        ,Image ,Name(s)            ,Introduction (cal. year) ,Model code         ,Introduction (cal. year) ,Main markets                                             ,Vehicle description
 0 ,Sedan             ,      ,Avalon             ,1994                     ,XX50               ,2018                     ,China                                                    ,Full-size sedan mainly produced and marketed in North America (until 2022) and China. Hybrid powertrain is available. All-wheel drive models are exclusively sold in North America.
 1 ,Sedan             ,      ,Belta              ,2005 (nameplate)         ,                   ,2021                     ,Africa                                                   ,"Subcompact sedan (B-segment), rebadged Suzuki Ciaz. Previously, the Belta nameplate was used for the Japanese market Vios/Yaris sedan."
 2 ,Sedan             ,      ,bZ3                ,2022                     ,                   ,2022                     ,China                                                    ,Battery electric compact sedan jointly developed with BYD Auto.
 3 ,Sedan             ,      ,Camry              ,1982                     ,XV70               ,2017                     ,Global (except Japan)                                    ,Mid-size sedan (D-segment) marketed globally. Hybrid powertrain is optional.
 4 ,Sedan             ,      ,Century            ,1967                     ,G60                ,2018                     ,Japan                                                    ,"Traditional luxury flagship sedan, mainly marketed in Japan. Hybrid powertrain is standard."
 5 ,Sedan             ,      ,Corolla            ,1966                     ,E210               ,2018                     ,Global                                                   ,"Compact sedan (C-segment) marketed globally. Traditionally the best-selling Toyota model worldwide. The Prestige model has been marketed in Europe, Asia (except Japan) and South America, while the Sporty model has been marketed in North America, Australasia, and China (as the Levin). Marketed in short wheelbase version in Japan. Marketed in Southeast Asia and Taiwan as the Corolla Altis. Hybrid powertrain is optional."
 6 ,Sedan             ,      ,Allion             ,2021                     ,E210               ,2021                     ,China                                                    ,Long-wheelbase versions of the Corolla for the Chinese market. The Allion is a reused nameplate from the Japanese-market compact sedan.
 7 ,Sedan             ,      ,Levin GT           ,2021                     ,E210               ,2021                     ,China                                                    ,Long-wheelbase versions of the Corolla for the Chinese market. The Allion is a reused nameplate from the Japanese-market compact sedan.
 8 ,Sedan             ,      ,Crown              ,1955                     ,S235               ,2022                     ,"Japan, North America and others"                        ,All-wheel-drive luxury crossover sedan marketed in Japan and North America. Oldest Toyota passenger car nameplate still in use. Hybrid powertrain is standard.
 9 ,Sedan             ,      ,Mirai              ,2014                     ,JPD20              ,2020                     ,Global                                                   ,Fuel-cell/hydrogen executive sedan.
10 ,Sedan             ,      ,Prius              ,1997                     ,XW60               ,2022                     ,Global                                                   ,Hybrid/plug-in hybrid compact liftback (C-segment). The first mass-marketed hybrid electric car.
11 ,Sedan             ,      ,Vios/ Yaris        ,2002                     ,XP150 AC100        ,2013 2022                ,"Emerging markets in Asia, Africa and Latin America"     ,"Subcompact sedan (B-segment) produced primarily for emerging markets. The Vios nameplate is used in China, Taiwan and Southeast Asian countries, while the Yaris nameplate is used in China, India, Middle East, Latin America, and Thailand (as the Yaris Ativ)."
12 ,Hatchback         ,      ,Agya/ Wigo         ,2013                     ,A350[A]            ,2023                     ,Southeast Asia and others                                ,"City car developed by Daihatsu for emerging markets, rebadged Daihatsu Ayla."
13 ,Hatchback         ,      ,Aqua               ,2011                     ,XP210              ,2021                     ,Japan                                                    ,Hybrid-only subcompact hatchback (B-segment). First generation was marketed as the Prius c overseas.
14 ,Hatchback         ,      ,Corolla            ,1966                     ,E210               ,2018                     ,Global                                                   ,Compact hatchback (C-segment). Successor to the Auris. Called the Corolla Sport in Japan. Hybrid powertrain is optional.
15 ,Hatchback         ,      ,GR Corolla         ,2022                     ,E210               ,2022                     ,Global                                                   ,High-performance variant of the Corolla hatchback (E210).
16 ,Hatchback         ,      ,Glanza/ Starlet    ,2019                     ,                   ,2022                     ,India and Africa                                         ,"Subcompact hatchback (B-segment) developed and manufactured by Suzuki, primarily marketed in India (as Glanza) and Africa (as Starlet). Rebadged Suzuki Baleno."
17 ,Hatchback         ,      ,Passo              ,2004                     ,M700[B]            ,2016                     ,Japan                                                    ,"Subcompact hatchback positioned below the Yaris. Rebadged Daihatsu Boon, marketed primarily in Japan."
18 ,Hatchback         ,      ,Vitz               ,1998 (nameplate)         ,                   ,2023                     ,Africa                                                   ,"City car (A-segment) developed by Suzuki for emerging markets, rebadged Suzuki Celerio."
19 ,Hatchback         ,      ,Yaris (XP150)      ,2013                     ,XP150              ,2013                     ,"Emerging markets in Asia, Africa and Latin America"     ,Subcompact hatchback (B-segment) produced primarily for emerging markets. Hatchback version of the Vios.
20 ,Hatchback         ,      ,Yaris (XP210)      ,1999                     ,XP210              ,2020                     ,"Japan, Europe and Australasia"                          ,Subcompact hatchback (B-segment) produced primarily for developed markets. Hybrid powertrain is optional.
21 ,Hatchback         ,      ,GR Yaris           ,2020                     ,XP210              ,2020                     ,Global (except North America)                            ,"High-performance, three-door version of the Yaris (XP210), mass-produced as a homologation model for the FIA World Rally Championship."
